Designator,Mid X,Mid Y,Layer,Rotation
5V-REGULATOR,61.28,8.57,Top,0
C1,83.19,10.16,Top,270
C2,81.91,15.87,Top,225
C3,64.45,2.54,Top,0
C4,59.69,2.54,Top,180
C5,70.48,3.49,Top,315
C6,67.63,6.35,Top,135
C7,80.33,5.71,Top,45
D1,5.08,45.72,Top,0
D2,5.08,40.64,Top,0
D3,5.08,35.56,Top,0
D4,5.08,30.48,Top,0
D5,5.08,25.4,Top,0
D6,5.08,20.32,Top,0
D7,5.08,15.24,Top,0
D8,5.08,10.16,Top,0
D9,10.16,45.72,Top,0
D10,10.16,40.64,Top,0
D11,10.16,35.56,Top,0
D12,10.16,30.48,Top,0
D13,10.16,25.4,Top,0
D14,10.16,20.32,Top,0
D15,10.16,15.24,Top,0
D16,10.16,10.16,Top,0
D17,15.24,45.72,Top,0
D18,15.24,40.64,Top,0
D19,15.24,35.56,Top,0
D20,15.24,30.48,Top,0
D21,15.24,25.4,Top,0
D22,15.24,20.32,Top,0
D23,15.24,15.24,Top,0
D24,15.24,10.16,Top,0
D25,20.32,45.72,Top,0
D26,20.32,40.64,Top,0
D27,20.32,35.56,Top,0
D28,20.32,30.48,Top,0
D29,20.32,25.4,Top,0
D30,20.32,20.32,Top,0
D31,20.32,15.24,Top,0
D32,20.32,10.16,Top,0
D33,25.4,45.72,Top,0
D34,25.4,40.64,Top,0
D35,25.4,35.56,Top,0
D36,25.4,30.48,Top,0
D37,25.4,25.4,Top,0
D38,25.4,20.32,Top,0
D39,25.4,15.24,Top,0
D40,25.4,10.16,Top,0
D41,30.48,45.72,Top,0
D42,30.48,40.64,Top,0
D43,30.48,35.56,Top,0
D44,30.48,30.48,Top,0
D45,30.48,25.4,Top,0
D46,30.48,20.32,Top,0
D47,30.48,15.24,Top,0
D48,30.48,10.16,Top,0
D49,35.56,45.72,Top,0
D50,35.56,40.64,Top,0
D51,35.56,35.56,Top,0
D52,35.56,30.48,Top,0
D53,35.56,25.4,Top,0
D54,35.56,20.32,Top,0
D55,35.56,15.24,Top,0
D56,35.56,10.16,Top,0
D57,40.64,45.72,Top,0
D58,40.64,40.64,Top,0
D59,40.64,35.56,Top,0
D60,40.64,30.48,Top,0
D61,40.64,25.4,Top,0
D62,40.64,20.32,Top,0
D63,40.64,15.24,Top,0
D64,40.64,10.16,Top,0
MICROCONTROLLER,74.29,10.79,Top,225
R1,5.08,6.35,Top,0
R2,10.16,6.35,Top,0
R3,15.24,6.35,Top,0
R4,20.32,6.35,Top,0
R5,25.4,6.35,Top,0
R6,30.48,6.35,Top,0
R7,35.56,6.35,Top,0
R8,40.64,6.35,Top,0
R9,65.09,33.65,Top,315
R10,53.02,21.59,Top,135
R11,53.02,33.65,Top,45
R12,65.09,21.59,Top,225
R13,78.42,2.54,Top,180
X1,79.37,18.41,Top,315